"scientific_name","class","order"
"Antilocapra americana","Mammalia","Artiodactyla"
"Apodemus sylvaticus","Mammalia","Rodentia"
"Capreolus capreolus","Mammalia","Artiodactyla"
"Cervus elaphus","Mammalia","Artiodactyla"
"Cervus nippon","Mammalia","Artiodactyla"
"Coracias garrulus","Aves","Coraciiformes"
"Dipodomys merriami","Mammalia","Rodentia"
"Dipodomys spectabilis","Mammalia","Rodentia"
"Dipodomys stephensi","Mammalia","Rodentia"
"Fringilla coelebs","Aves","Passeriformes"
"Gulo gulo","Mammalia","Carnivora"
"Helogale parvula","Mammalia","Carnivora"
"Lanius collurio","Aves","Passeriformes"
"Lepus americanus","Mammalia","Lagomorpha"
"Lepus californicus","Mammalia","Lagomorpha"
"Lepus europaeus","Mammalia","Lagomorpha"
"Lepus timidus","Mammalia","Lagomorpha"
"Lynx canadensis","Mammalia","Carnivora"
"Lynx lynx","Mammalia","Carnivora"
"Lynx rufus","Mammalia","Carnivora"
"Macropus fuliginosus","Mammalia","Diprotodontia"
"Marmota flaviventris","Mammalia","Rodentia"
"Marmota monax","Mammalia","Rodentia"
"Martes americana","Mammalia","Carnivora"
"Martes pennanti","Mammalia","Carnivora"
"Microtus agrestis","Mammalia","Rodentia"
"Microtus ochrogaster","Mammalia","Rodentia"
"Microtus pennsylvanicus","Mammalia","Rodentia"
"Motacilla flava","Aves","Passeriformes"
"Muscicapa striata","Aves","Passeriformes"
"Mustela erminea","Mammalia","Carnivora"
"Neotoma cinerea","Mammalia","Rodentia"
"Ochotona princeps","Mammalia","Lagomorpha"
"Odocoileus hemionus","Mammalia","Artiodactyla"
"Odocoileus virginianus","Mammalia","Artiodactyla"
"Oenanthe oenanthe","Aves","Passeriformes"
"Onychomys torridus","Mammalia","Rodentia"
"Oryctolagus cuniculus","Mammalia","Lagomorpha"
"Otospermophilus beecheyi","Mammalia","Rodentia"
"Ovis canadensis","Mammalia","Artiodactyla"
"Phoenicurus phoenicurus","Aves","Passeriformes"
"Puma concolor","Mammalia","Carnivora"
"Rangifer tarandus","Mammalia","Artiodactyla"
"Sciurus carolinensis","Mammalia","Rodentia"
"Sciurus niger","Mammalia","Rodentia"
"Sciurus vulgaris","Mammalia","Rodentia"
"Streptopelia turtur","Aves","Columbiformes"
"Sylvilagus floridanus","Mammalia","Lagomorpha"
"Tamiasciurus hudsonicus","Mammalia","Rodentia"
"Taxidea taxus","Mammalia","Carnivora"
"Trichosurus vulpecula","Mammalia","Diprotodontia"
"Upupa epops","Aves","Upupiformes"
