"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius","class","scientific_name"
"187","Caracal caracal","caracalcaracal",90,"DM","Whitmee and Ormee 2012","90","linear km",0,"DM","IUCN","not a migrant",NA,275760000,"CJL","Kroshko et al. 2016","275.76","km2",12.9999,"Tamburello_etal","sds",4,"CJL","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","51245224","IUCN (estimated extent of occurrence)",NA,275.76,9.36894520285193,"MAMMALIA","Caracal caracal"
"188","Mustela nivalis","mustelanivalis",6.64,"DM","Prugh_etal","6.64","km",0,"DM","IUCN","not a migrant",NA,67500,"SDS","Lindstedt et al (1986)","6.75","ha",0.0881,"Tamburello_etal","sds",4,"MG","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.0675,0.146580753570876,"MAMMALIA","Mustela nivalis"
"189","Aquila adalberti","aquilaadalberti",430,"DM","Jenkins_et_al_2007","430000","m",0,"DM","IUCN","not a migrant",NA,1.2e+07,"DM","Makarieva_etal_2005","1200","ha",3,"Makarieva_etal_2005","yes",4,"","Carnivore/Vertivore","Pigot_etal_2020","","","204000","IUCN (estimated extent of occurrence)",NA,12,1.95441004761168,"AVES","Aquila adalberti"
"190","Parabuteo unicinctus","parabuteounicinctus",160,"DM","Jenkins_et_al_2007","160000","m",0,"DM","IUCN","not a migrant",NA,3900000,"DM","makarieva_etal_2005","390","ha",0.73,"makarieva_etal_2005","",4,"MG","Carnivore/Vertivore","Pigot_etal_2020","","","34100000","IUCN (estimated extent of occurrence)",NA,3.9,1.11418515342684,"AVES","Parabuteo unicinctus"
"191","Iguana iguana","iguanaiguana",1.41,"DM","Jenkins_et_al_2007","1410","m",0,"DM","IUCN","not a migrant",NA,4370,"MG","Perry_Garland_2002","4.37E+03","m2",1.068414286,"Perry_Garland_2002","",4,"MG","Herbivore","Perry_Garland_2002","","","","",NA,0.00437,0.0372963028009904,"REPTILIA","Iguana iguana"
"192","Lagopus lagopus","lagopuslagopus",7.5,"DM","Jenkins_et_al_2007","7500","m",0,"DM","IUCN","not a migrant",NA,25899.9,"SDS","Schoener_1968","6.4","acres",0.62,"Schoener_1968","",4,"SDS","Herbivore/Herbivore terrestrial","Pigot_etal_2020","","","3680000","IUCN (estimated extent of occurrence)",NA,0.0258999,0.0907975452375865,"AVES","Lagopus lagopus"
"193","Poecile palustris","poecilepalustris",1.77,"CJL","Sutherland_etal_2000","1.77 = weighted avg of males & females","km",0,"DM","IUCN","not a migrant",NA,22662.4,"SDS","Schoener_1968","5.6","acres",0.011,"Schoener_1968","",4,"","Omnivore/Invertivore","Pigot_etal_2020","","","30100000","IUCN (estimated extent of occurrence)",NA,0.0226624,0.0849333030362739,"AVES","Poecile palustris"
"194","Aegithalos caudatus","aegithaloscaudatus",24.9,"DM","Jenkins_et_al_2007","24900","m",0,"DM","IUCN","not a migrant",NA,42000,"DM","Tamburello_etal","42000","m2",0.008,"Tamburello_etal","yes",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","44600000","IUCN (estimated extent of occurrence)",NA,0.042,0.115624457705622,"AVES","Aegithalos caudatus"
"195","Lampropeltis triangulum","lampropeltistriangulum",0.5,"DM","Jenkins_et_al_2007","500","m",0,"DM","IUCN","not a migrant",NA,240400,"DM","Tamburello_etal","240400","m2",0.165,"Tamburello_etal","yes",4,"CJL","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,0.2404,0.276625553119345,"REPTILIA","Lampropeltis triangulum"
"196","Picus viridis","picusviridis",27.8,"DM","Jenkins_et_al_2007","27800","m",0,"DM","IUCN","not a migrant",NA,1850000,"DM","Tamburello_etal","1850000","m2",0.18667,"Tamburello_etal","yes",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","flying - air","Tamburello_etal","11800000","IUCN (estimated extent of occurrence)",NA,1.85,0.767380798196054,"AVES","Picus viridis"
"197","Coluber constrictor","coluberconstrictor",2.29,"DM","Jenkins_et_al_2007","2290","m",0,"DM","IUCN","not a migrant",NA,151000,"DM","Tamburello_etal","151000","m2",0.55615,"Tamburello_etal","yes",4,"CJL","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,0.151,0.219236841825804,"REPTILIA","Coluber constrictor"
"198","Dicamptodon tenebrosus","dicamptodontenebrosus",0.06625,"DM","Jenkins_et_al_2007","66.25","m",0,"SDS","JOHNSTON_1999","not a migrant",NA,2978.58,"CJL","Johnston_2002","2978.58 = average of column in Table 2","m2",0.06785,"","",4,"PLT","Carnivore","Animal_Diversity_Web","","","","",NA,0.00297858,0.0307914186225532,"AMPHIBIA","Dicamptodon tenebrosus"
"199","Thomomys bottae","thomomysbottae",0.3,"DM","Jenkins_et_al_2007","300","m",0,"SDS","Jones_Baxter_2004","not a migrant","",71.14,"DM","Tamburello_etal","71.14","m2",0.16018,"Tamburello_etal","yes",4,"CJL","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","3018235","IUCN (estimated extent of occurrence)",NA,7.114e-05,0.00475863061217351,"MAMMALIA","Thomomys bottae"
"200","Carcharhinus limbatus","carcharhinuslimbatus",2146,"DM","Jenkins_et_al_2007","2146000","m",2148,"SDS","Keeney_et_al_2003","2.15E+03","km",977000,"CJL - value was 8090000","Heupel_et_al_2004","weighted avg of inds from two years: ((33*0.7)+(41*1.2))/(33+41)","km2",122.8,"EOL","",4,"","Carnivore","EOL","","","","",NA,0.977,0.557663661001471,"CHONDRICHTHYES","Carcharhinus limbatus"
"201","Sternotherus odoratus","sternotherusodoratus",0.011,"DM","Jenkins_et_al_2007","11","m",0,"SDS","King_Heatwolfe_1999","not a migrant","",28000,"DM","Tamburello_etal","28000","m2",0.19,"Tamburello_etal","yes",4,"CJL","Carnivore","Tamburello_etal","walking - land","Tamburello_etal","","",NA,0.028,0.094406974388263,"REPTILIA","Sternotherus odoratus"
"202","Nerodia erythrogaster","nerodiaerythrogaster",1,"DM","Jenkins_et_al_2007","1000","m",0,"SDS","Kingsbury_Copolla_2000","not a migrant","",131000,"DM","Tamburello_etal","131000","m2",0.31324,"Tamburello_etal","yes",4,"SDS","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,0.131,0.2042023386009,"REPTILIA","Nerodia erythrogaster"
"203","Nerodia sipeodon","nerodiasipeodon",0.006,"DM","Jenkins_et_al_2007","6","m",0,"SDS","Kingsbury_Copolla_2000","not a migrant","",40000,"DM","Tamburello_etal","40000","m2",0.19055,"Tamburello_etal","yes",4,"SDS","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,0.04,0.112837916709551,"NA","Nerodia sipeodon"
"204","Pseudacris triseriata","pseudacristriseriata",0.213,"DM","Jenkins_et_al_2007","213","m",0,"SDS - changed source","Dinsmore_Swanson_2008","not a migrant","",2117,"CJL","Kramer_1974","2117","m2",0.00552,"EOL","",4,"CF","Carnivore","EOL","","","","",NA,0.002117,0.0259588526143026,"AMPHIBIA","Pseudacris triseriata"
"205","Riparia riparia","ripariariparia",144,"DM","Jenkins_et_al_2007","144000","m",3454,"SDS - changed source","La Sorte et al. 2013","3454","km",282743,"CF","Alves_1994","300","metre (raduis)",0.012,"Hein_Gillooly_2011","",4,"CF","Carnivore/Invertivore","Pigot_etal_2020","","","74400000","IUCN (estimated extent of occurrence)",NA,0.282743,0.299999820248719,"AVES","Riparia riparia"
"206","Accipiter cooperii","accipitercooperii",35.2,"DM","Jenkins_et_al_2007","35200","m",2500,"SDS - was 700","Henney_1990","2500","",84646.0836,"DM","Armstrong_1965","290.94","ha",0.47,"Armstrong_1965","yes",4,"","Carnivore/Vertivore","Pigot_etal_2020","","","11800000","IUCN (estimated extent of occurrence)",NA,0.0846460836,0.164145317437384,"AVES","Accipiter cooperii"
"207","Asio flammeus","asioflammeus",326.9,"MG","Calladine_et_al_2012","Taken from pictured of breeding/natal areas","",4722,"SDS - changed source","Johnson_etal_2017","","km",408.04,"DM","Armstrong_1965","2.02E+01","ha",0.315,"Armstrong_1965","yes",4,"CJL","Carnivore/Vertivore","Pigot_etal_2020","","","246000000","IUCN (estimated extent of occurrence)",NA,0.00040804,0.0113966295876647,"AVES","Asio flammeus"
"208","Buteo lineatus","buteolineatus",24,"DM","Jenkins_et_al_2007","24000","m",1000,"SDS - changed source","Jacobs_Jacobs_2002","","km",4604.9796,"DM","Armstrong_1965","67.86","ha",0.625,"Armstrong_1965","yes",4,"","Carnivore/Vertivore","Pigot_etal_2020","","","9590000","IUCN (estimated extent of occurrence)",NA,0.0046049796,0.0382859051395507,"AVES","Buteo lineatus"
"209","Buteo swainsoni","buteoswainsoni",320,"DM","Jenkins_et_al_2007","320000","m",13504,"SDS - changed source","Fuller_etal_1998","","km",182628.0225,"DM","Armstrong_1965","427.35","ha",0.988,"Armstrong_1965","yes",4,"","Carnivore/Vertivore","Pigot_etal_2020","","","5660000","IUCN (estimated extent of occurrence)",NA,0.1826280225,0.241106418529134,"AVES","Buteo swainsoni"
"210","Chordeiles minor","chordeilesminor",0.05,"SDS","Brigham_etal_2020","50","m",11000,"SDS - changed source","Hein_Gillooly_2011","","km",108.16,"DM","Armstrong_1965","10.4","ha",0.062,"Hein_Gillooly_2011","",4,"MG","Carnivore/Invertivore","Pigot_etal_2020","","","16600000","IUCN (estimated extent of occurrence)",NA,0.00010816,0.00586757166889667,"AVES","Chordeiles minor"
"211","Circus hudsonius","circushudsonius",0.6,"DM","Jenkins_et_al_2007","600","m",2000,"SDS - changed source","IUCN","2000","km",67750.8841,"DM","Armstrong_1965","260.29","ha",0.521,"Armstrong_1965","yes",4,"","Carnivore/Vertivore","Pigot_etal_2020","","","34800000","IUCN (estimated extent of occurrence)",NA,0.0677508841,0.146852906701645,"AVES","Circus hudsonius"
"212","Falco sparverius","falcosparverius",4.93,"DM","Prugh_etal","4.93","km",6000,"SDS - changed source","Hein_Gillooly_2011","","km",31201.6896,"DM","Armstrong_1965","176.64","ha",0.114,"Armstrong_1965","yes",4,"","Omnivore/Carnivore","Pigot_etal_2020","","","52700000","IUCN (estimated extent of occurrence)",NA,0.0312016896,0.0996584480378757,"AVES","Falco sparverius"
"213","Haliaeetus leucocephalus","haliaeetusleucocephalus",69.2,"CJL","Millsap_etal_2014","69.2","km",930,"SDS - changed source","Laing_Bird_2005","","km",41330.89,"DM","Armstrong_1965","203.3","ha",3.997,"Armstrong_1965","yes",4,"","Omnivore/Carnivore","Pigot_etal_2020","","","23300000","IUCN (estimated extent of occurrence)",NA,0.04133089,0.114699742335259,"AVES","Haliaeetus leucocephalus"
"214","Falco columbarius","falcocolumbarius",81.1,"DM","Jenkins_et_al_2007","81100","m",3400,"SDS - changed source","Warkinstin_1990","","km",125663.7,"CF- value was 21330000","Becker_Sieg_1987","200","metre (radius)",0.195,"EOL","",4,"CJL","Carnivore/Vertivore","Pigot_etal_2020","","","103000000","IUCN (estimated extent of occurrence)",NA,0.1256637,0.199999995111085,"AVES","Falco columbarius"
"215","Falco peregrinus","falcoperegrinus",357,"DM","Jenkins_et_al_2007","357000","m",8600,"SDS - changed source","Hein_Gillooly_2011","","km",12600000,"SDS","Bowman_2003","1256","ha",0.7815,"Tamburello_etal","sds",4,"","Carnivore/Vertivore","Pigot_etal_2020","flying","Hirt_etal","413000000","IUCN (estimated extent of occurrence)",NA,12.6,2.00267435343736,"AVES","Falco peregrinus"
"216","Numenius phaeopus","numeniusphaeopus",1.63,"DM","Jenkins_et_al_2007","1630","m",5000,"SDS - changed source","Watts_etal_2008","","km",210000,"SDS","Bowman_2003","21","ha",0.403,"EOL","",4,"CJL","Omnivore/Carnivore","Pigot_etal_2020","flying","Hirt_etal","31100000","IUCN (estimated extent of occurrence)",NA,0.21,0.258544147291321,"AVES","Numenius phaeopus"
"217","Sayornis nigricans","sayornisnigricans",34.4,"DM","Jenkins_et_al_2007","34400","m",100,"SDS - changed source","IUCN","95","km",700,"SDS","Bowman_2003","0.07","ha",0.022,"EOL","",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","","","16700000","IUCN (estimated extent of occurrence)",NA,7e-04,0.0149270533036046,"AVES","Sayornis nigricans"
"218","Eudocimus albus","eudocimusalbus",100,"DM","Jenkins_et_al_2007","100000","m",0,"SDS - changed source","IUCN","355","km",12570000,"SDS - ref and value wrong","Frederick_Ogden_1997","10","km",0.904,"EOL","",4,"MG","Carnivore/Aquatic predator","Pigot_etal_2020","","","12900000","IUCN (estimated extent of occurrence)",NA,12.57,2.00028879648171,"AVES","Eudocimus albus"
"219","Anas platyrhynchos","anasplatyrhynchos",19.9,"DM","Prugh_etal","19.9","km",676,"SDS - changed source","Soderquist_etal_2013","1233","km",2250000,"CJL - value was 4030000","Gilmer_et_al_1975","average of 210 & 240 (same sample size of males & females)","ha",1.082,"Owen_Cook_1977","",4,"","Herbivore/Herbivore aquatic","Pigot_etal_2020","flying","Hirt_etal","65800000","IUCN (estimated extent of occurrence)",NA,2.25,0.846284375321634,"AVES","Anas platyrhynchos"
"220","Calidris mauri","calidrismauri",0.0875,"CJL - changed value (wrong units)","Sandercock et al. 2000","87.5 - average of medians for males, females, and pairs in Fig 1","m",3200,"SDS - changed source","Hein_Gillooly_2011","","km",706.8,"SDS - value was 2000","Holmes_1973","15","m",0.047,"Hein_Gillooy_2011","",4,"PLT","Carnivore/Aquatic predator","Pigot_etal_2020","","","947000","IUCN (estimated extent of occurrence)",NA,0.0007068,0.0149993809057142,"AVES","Calidris mauri"
"221","Anas crecca","anascrecca",0.5,"SDS","Fox_1986","500 - rough average of badly labelled figure, range 100 - 2000m ","m",5000,"SDS - changed source","Hein_Gillooly_2011","","km",747500,"SDS","Legagneux_etal","74.75","ha",0.35,"Hein_Gillooly_2011","",4,"MG","Herbivore/Herbivore aquatic","Pigot_etal_2020","","","48200000","IUCN (estimated extent of occurrence)",NA,0.7475,0.487787494635096,"AVES","Anas crecca"
"222","Zenaida macroura","zenaidamacroura",4.8,"DM","Jenkins_et_al_2007","4800","m",2900,"SDS ","Baskett_etal_1993","5.33E+02","km",2170000,"SDS - source right, but number was way off","Losito_Mirachi_1991","217","ha",0.119,"Bestetal_1996","",4,"MG","Herbivore/Granivore","Pigot_etal_2020","","","22400000","IUCN (estimated extent of occurrence)",NA,2.17,0.831103154258739,"AVES","Zenaida macroura"
"223","Calcarius lapponicus","calcariuslapponicus",0.3985,"CJL - changed value (wrong units)","McLaughlin and Montgomerie 1985","398.5","m",6500,"SDS - changed source","Hein_Gillooly_2011","","km",17600,"CJL","Mace_Harvey_1983","1.76","ha",0.0286,"Mace_Harvey_1983","",4,"PLT","Herbivore/Granivore","Pigot_etal_2020","","","38900000","IUCN (estimated extent of occurrence)",NA,0.0176,0.0748482063701911,"AVES","Calcarius lapponicus"
"224","Mimus polyglottos","mimuspolyglottos",45,"MG","Tittler_2009","45","Km",0,"SDS - changed source","ICUN","37","km",4000,"CJL","Mace_Harvey_1983","0.4","ha",0.0501,"Mace_Harvey_1983","",4,"","Omnivore/Omnivore","Pigot_etal_2020","","","19200000","IUCN (estimated extent of occurrence)",NA,0.004,0.0356824823230554,"AVES","Mimus polyglottos"
"225","Thryomanes bewickii","thryomanesbewickii",0.73,"DM","Prugh_etal","0.73","km",200,"SDS - calculated from map","Sibley_2014","200","im",4800,"CJL","Mace_Harvey_1983","0.48","ha",0.011,"Mace_Harvey_1983","",4,"","Carnivore/Invertivore","Pigot_etal_2020","","","6480000","IUCN (estimated extent of occurrence)",NA,0.0048,0.0390882009522336,"AVES","Thryomanes bewickii"
"226","Aegolius acadicus","aegoliusacadicus",9,"CJL - changed value","Marks_et_al_2015","9","km",467,"SDS - changed source","Priestley_etal_2010","4.16E+02","km",1400000,"DM","Makarieva_etal_2005","140","ha",0.085,"Makarieva_etal_2005","yes",4,"MG","Carnivore/Vertivore","Pigot_etal_2020","","","18600000","IUCN (estimated extent of occurrence)",NA,1.4,0.667558117812455,"AVES","Aegolius acadicus"
"227","Aquila chrysaetos","aquilachrysaetos",55.3,"DM","Murphy et al. 2018","55.3","km",2200,"SDS - changed source","Brodeur_etal_1996","1.08E+03","",2.2e+07,"DM","makarieva_etal_2005","2200","ha",1.6,"makarieva_etal_2005","yes",4,"PT","Carnivore/Vertivore","Pigot_etal_2020","flying","Hirt_etal","139000000","IUCN (estimated extent of occurrence)",NA,22,2.64628371420061,"AVES","Aquila chrysaetos"
"228","Asio otus","asiootus",161.6,"DM","Jenkins_et_al_2007","161600","m",800,"SDS - changed source","Holt_1997","6.50E+02","km",5100000,"DM","makarieva_etal_2005","510","ha",0.252,"Tamburello_etal","sds",4,"","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","80000000","IUCN (estimated extent of occurrence)",NA,5.1,1.27411946831423,"AVES","Asio otus"
"229","Buteo regalis","buteoregalis",592,"DM","Watson et al. 2019","592","km",2376,"SDS - changed source","Watson_etal_2018","1038","",1.2e+07,"DM","makarieva_etal_2005","1200","ha",1.505,"EOL","",4,"PLT","Carnivore/Vertivore","Pigot_etal_2020","","","3320000","IUCN (estimated extent of occurrence)",NA,12,1.95441004761168,"AVES","Buteo regalis"
"230","Falco mexicanus","falcomexicanus",2.5,"DM","Steenhof_et_al_2005","2.5","km",0,"SDS - changed source","IUCN","248","km",2.6e+07,"DM","makarieva_etal_2005","2600","ha",0.801,"Armstrong_1965","",4,"","Carnivore/Vertivore","Pigot_etal_2020","","","4870000","IUCN (estimated extent of occurrence)",NA,26,2.8768136958758,"AVES","Falco mexicanus"
"231","Athene cunicularia","athenecunicularia",30,"DM","Jenkins_et_al_2007","30000","m",2735,"SDS - changed source","Holroyd_etal_2010","1341","",10568.3,"changed: this was an error- average max distance moved per day was 58.4m (value in spreadsheet was .058m2)","Manning_Goldberg_2010","","",0.2024,"Baladron_etal_2005","yes",4,"MG","Carnivore/Vertivore","Pigot_etal_2020","","","39100000","IUCN (estimated extent of occurrence)",NA,0.0105683,0.0579999514668431,"AVES","Athene cunicularia"
"232","Dolichonyx oryzivorus","dolichonyxoryzivorus",1.522,"SDS - changed value","Fajardo_etal_2009","1522","m",8057,"SDS - changed source","La Sorte et al. 2013","","km",7450,"SDS changed from 7.85E5, averaged from male territory size","Martin&Gavin_1995","0.745","ha",0.042,"Hein_Gillooly_2011","",4,"","Omnivore/Granivore","Pigot_etal_2020","","","1200000","IUCN (estimated extent of occurrence)",NA,0.00745,0.0486971113318772,"AVES","Dolichonyx oryzivorus"
"233","Hirundo rustica","hirundorustica",65,"MG","Tittler_2009","65","Km",12000,"SDS - changed source","Hein_Gillooly_2011","","km",785000,"CF","Moller_1987","500","m radius",0.019,"Hein_Gillooly_2011","",4,"MG","Carnivore/Invertivore","Pigot_etal_2020","","","251000000","IUCN (estimated extent of occurrence)",NA,0.785,0.499873244587341,"AVES","Hirundo rustica"
"234","Branta canadensis","brantacanadensis",30.5,"DM","Jenkins_et_al_2007","30500","m",3500,"SDS - changed source","Hein_Gillooly_2011","","km",8960000,"MG - value was 25000000","Giles_2010","895.9","from 214.2 to 263.6 ha for VHF-marked geese and 1190.2 to 1915.6 ha for PTT-marked geese",3.5,"Fox_etal_1996","",4,"","Herbivore/Herbivore terrestrial","Pigot_etal_2020","","","12800000","IUCN (estimated extent of occurrence)",NA,8.96,1.6888032982579,"AVES","Branta canadensis"
"235","Calidris alpina","calidrisalpina",2.5,"DM","Soikkeli_1970","","",4800,"SDS - changed source","Wennerberg_2001","4113","",15300000,"MG","Choi_et_al_2014","15.33","km2",0.051,"EOL","",4,"","Carnivore/Aquatic predator","Pigot_etal_2020","","","3960000","IUCN (estimated extent of occurrence)",NA,15.3,2.20683965403289,"AVES","Calidris alpina"
"236","Charadrius vociferus","charadriusvociferus",1.639,"CJL - changed source & value","Powers_1997","1639 = weighted avg of natal dispersal in Table 2","m",4348,"SDS - changed source","La Sorte et al. 2013","","km",42150,"MG - value was 4550","Plissner_et_al_2010","4.215","ha",0.095,"Hein_Gillooly_2011","",4,"","Omnivore/Carnivore","Pigot_etal_2020","","","26300000","IUCN (estimated extent of occurrence)",NA,0.04215,0.115830745929769,"AVES","Charadrius vociferus"
